"fecha";"real";"pred"
2024-09-10;14907,2;14651,0962894796
2024-09-11;14938,6;15051,7769691964
2024-09-12;14899,9;15331,5366593882
2024-09-13;14777,1;15062,9910497152
2024-09-14;13478,9;13349,9790410337
2024-09-15;12366,2;12644,977381078
2024-09-16;13864,2;13625,8854000208
2024-09-17;14119,5;14326,1870031982
2024-09-18;14366,9;14610,5700111857
2024-09-19;14639,1;14723,1261208015
2024-09-20;14329,9;14695,0984299169
2024-09-21;13247;12954,6111630305
2024-09-22;12680,8;12373,6268089243
2024-09-23;14562,8;13772,186749969
2024-09-24;14597,7;14675,8380537539
2024-09-25;14515,3;14689,3082318403
2024-09-26;14214,6;14716,2246054794
2024-09-27;14032,6;14779,7539585128
2024-09-28;12889,3;12798,8849932551
2024-09-29;12330,5;12451,9168483985
2024-09-30;15147,8;14720,4729595871
2024-10-01;15214,6;14977,5678586379
2024-10-02;14343,6;15025,266560881
2024-10-03;14099,8;14987,1386621087
2024-10-04;14047;14423,566969322
2024-10-05;13133,3;12842,7404471057
2024-10-06;12504,5;12262,3551199694
2024-10-07;14162,7;13620,1439001364
2024-10-08;14025;14464,9037847436
2024-10-09;13896,2;14407,6495796223
2024-10-10;13711,3;14342,4258528196
2024-10-11;12563,5;12995,2934504622
2024-10-12;12004,4;11969,6764205929
2024-10-13;11991,6;11678,288470169
2024-10-14;14100,6;13357,0679677981
2024-10-15;14492,8;14650,2680068617
2024-10-16;14621,3;14683,8065065984
2024-10-17;14747,9;15058,9606829116
2024-10-18;14414,6;14978,7494868602
2024-10-19;13708,3;13384,237741152
2024-10-20;13184;13526,2437727042
2024-10-21;16967,8;16251,3291143111
2024-10-22;17120,2;16742,3970391952
2024-10-23;15792,8;16078,6824821047
2024-10-24;14759,2;15459,3436784234
2024-10-25;14333,6;14788,2283022957
2024-10-26;12866,4;12887,4753684675
2024-10-27;11989,1;12292,6781247447
2024-10-28;14931,7;14158,8407747386
2024-10-29;16600,8;16144,9855677
2024-10-30;17382,8;16956,6760664661
2024-10-31;17243,5;17027,0310990381
2024-11-01;17501,5;17559,537339902
2024-11-02;14744,2;15114,7109378234
2024-11-03;12912,3;13068,6384761941
